Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Stn_No
CHEMAINUS,48.935,-123.742,BC,8.2,0,NA,13.5,0,1,0,0,0,NA,178.8,0,NA,0,12,,,NA,273.3,0,1011500
COWICHAN LAKE FORESTRY,48.824,-124.133,BC,7,0,3,15,0,-3,0,0,0,0,258.6,0,104,0,12,,,NA,307,0,1012040
LAKE COWICHAN,48.829,-124.052,BC,6.8,13,2.8,16,9,-2.5,9,0,9,NA,264.6,9,NA,,11,,,NA,168.1,0,1012055
DISCOVERY ISLAND,48.425,-123.226,BC,,,NA,12.5,0,,,,,NA,,,NA,,,,,NA,,,1012475
DUNCAN KELVIN CREEK,48.735,-123.728,BC,7.7,2,3.4,14.5,2,-1,2,0,2,NA,168.4,2,NA,,11,,,NA,267.7,0,1012573
ESQUIMALT HARBOUR,48.432,-123.439,BC,8.8,0,NA,13.1,0,1.9,0,,,NA,81,8,NA,,12,,,NA,258.6,0,1012710
GALIANO NORTH,48.985,-123.573,BC,8.9,7,NA,13.5,7,2,7,0,7,NA,110,7,NA,0,10,,,NA,191.7,0,10130MN
MALAHAT,48.575,-123.53,BC,7.2,1,NA,12.7,1,2.2,0,,,NA,108.8,10,NA,,12,,,NA,290.8,0,1014820
METCHOSIN,48.374,-123.561,BC,,,NA,,,,,0,0,0,102.6,0,95,0,16,,,NA,,,1015105
NORTH COWICHAN,48.824,-123.718,BC,,,NA,,,,,0,0,0,142.8,0,114,0,13,,,NA,,,1015628
NORTH COWICHAN,48.824,-123.719,BC,7.7,0,NA,14.7,0,-2.6,0,,,NA,132.8,0,NA,0,12,,,NA,288.8,0,1015630
NORTH PENDER ISLAND,48.764,-123.287,BC,8.6,1,NA,14,1,2,1,0,1,NA,91.1,1,NA,0,13,,,NA,253.6,0,1015638
RACE ROCKS,48.298,-123.531,BC,9.6,0,NA,15.6,0,5.2,0,,,NA,,,NA,,,,,NA,234.7,0,1016640
SAANICHTON CDA,48.622,-123.419,BC,8.1,0,2.8,14,0,-1,0,0,0,0,116.5,0,130,0,13,,,NA,277.8,0,1016940
SALTSPRING ST MARY'S L,48.888,-123.546,BC,8.3,1,3.3,14.5,1,1,1,0,1,NA,104.3,1,NA,0,11,,,NA,262.9,0,1016995
SAANICHTON MT NEWTON,48.598,-123.427,BC,,,NA,,,,,0,21,NA,67.8,21,NA,,7,,,NA,,,1016RM0
SATURNA CAPMON,48.775,-123.128,BC,7.8,0,2.8,12.9,0,2,0,0,0,0,77.2,0,120,0,14,,,NA,285.6,0,1017098
SATURNA CAPMON CS,48.775,-123.128,BC,7.6,0,NA,12.7,0,2.1,0,,,NA,72.5,1,NA,,13,,,NA,291.5,0,1017099
SATURNA ISLAND CS,48.784,-123.045,BC,8.7,1,NA,13.7,1,4.1,0,,,NA,65,2,NA,,12,,,NA,250.4,0,1017101
SHAWNIGAN LAKE,48.647,-123.626,BC,7.1,0,3,14,0,-1.5,0,0,0,0,158.8,0,118,0,15,,,NA,304.5,0,1017230
